Love Story,1970,12,PG,106397186,30000000,802517229,226279639,2200000,16593840,99,"['Voiceover/Narration', 'Terminal Illness', 'Romance', 'Non-Chronological', 'College', 'Hockey', 'Dysfunctional Family', 'Lawyers', 'Musicians', 'Romantic Drama', '1971 Oscars Best Picture Nominee']",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,,['United States'],['English']
Airport,1970,3,G,100489150,,757954953,,10200000,76935077,137,"['Disaster', 'In a Plane', 'Ensemble', '1971 Oscars Best Picture Nominee']",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Contemporary Fiction,,['United States'],"['English', 'Italian']"
M*A*S*H,1970,1,R,81600000,,615480619,,3500000,26399291,116,"['Military Life', 'Korean War', 'War', '1971 Oscars Best Picture Nominee']",Based on Fiction Book/Short Story,Black Comedy,Live Action,Historical Fiction,,['United States'],['English']
Patton,1970,1,M/PG,62500000,,471415915,,12000000,90511856,172,"['Oscars Best Picture Winner', '1971 Oscars Best Picture Nominee']",Based on Factual Book/Article,Drama,Live Action,Historical Fiction,,['United States'],
The Aristocats,1970,4,G,55675257,269,419939235,2029,4000000,30170619,78,"['Animal Lead', 'Talking Animals', 'Cross-Class Romance', 'Romance', 'Inheritance', 'Musicians', 'Jazz', 'Country Mouse, City Mouse']",Original Screenplay,Musical,Hand Animation,Kids Fiction,,['United States'],['English']
Woodstock,1970,3,R,34505110,194156,260260128,1464452,600000,4525593,184,,Based on Real Life Events,Documentary,Live Action,Factual,,['United States'],['English']
Little Big Man,1970,12,PG-13,31559552,,238042801,,15000000,113139820,139,"['Culture Clash', 'Old Age Makeup']",Based on Fiction Book/Short Story,Western,Live Action,Historical Fiction,,['United States'],['English']
Ryan's Daughter,1970,11,R,30846306,410,232663033,3092,13300000,100317307,206,"['Romance', 'World War I', 'Set in Ireland', 'Romantic Drama', 'Relationships Gone Wrong', 'PTSD', '1910s', 'Suicide', 'Falsely Accused']",Original Screenplay,Drama,Live Action,Historical Fiction,,['United Kingdom'],['English']
Tora! Tora! Tora!,1970,9,G,29548291,,222872554,,25000000,188566366,144,"['Historical Battles', 'World War II', 'War', '1930s', 'In a Plane', 'On a Boat', 'Ensemble', 'War Drama']",Original Screenplay,Drama,Live Action,Historical Fiction,,"['Japan', 'United States']","['English', 'Japanese']"
Catch-22,1970,6,R,24911670,,187900123,,18000000,135767784,122,"['World War II', 'War', 'Anti-war', 'Black Comedy', 'Satire', '1940s', 'In a Plane', 'Plane Crash', 'Sex Crimes', 'Prostitution', 'Revenge', 'Death of a Girlfriend / Boyfriend', 'AWOL']",Based on Fiction Book/Short Story,Black Comedy,Live Action,Historical Fiction,,['United States'],"['English', 'Italian']"
The Owl and the Pussycat,1970,11,PG,23681338,,178620154,,,,95,"['Romantic Comedy', 'Evicted', 'Romance', 'Relationships Gone Wrong', 'Aspiring Actress / Actor', 'Writing and Writers', 'Film Actor', 'Prostitution']",Based on Play,Romantic Comedy,Live Action,Contemporary Fiction,,['United States'],['English']
Joe,1970,7,R,19319254,,145718461,,106000,799521,107,"['Crime Drama', 'Political', 'Dysfunctional Family', 'Death of a Son or Daughter', 'Mass Shooting', 'Narcotics', 'Drug Overdose']",Original Screenplay,Drama,Live Action,Contemporary Fiction,,['United States'],['English']
The Boatniks,1970,7,G,18607492,,140349886,,,,99,"['Family Comedy', 'Romance', 'Heist', 'Coast Guard', 'Fatherâ€™s Footsteps', 'Relationships Gone Wrong']",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,['United States'],['English']
Five Easy Pieces,1970,9,R,18099091,,136515193,,1600000,12068247,98,"['Life Drama', 'Dysfunctional Family', 'Relationships Gone Wrong', 'Road Trip', 'Pregnant Women', '1971 Oscars Best Picture Nominee']",Original Screenplay,Drama,Live Action,Contemporary Fiction,,['United States'],['English']
Ann och Eve - de Erotiska,1970,8,Not Rated,18000000,,135767784,,,,104,"['Erotic Drama', 'LGBTQ+', 'Dwarfism', 'Holiday']",Original Screenplay,Drama,Live Action,Contemporary Fiction,,"['The Former Yugoslav Republic of Macedonia', 'Sweden']","['Serbian', 'Swedish']"
Beneath the Planet of the Apes,1970,5,G,17489009,,131913555,,3000000,22627964,95,"['Action Adventure', 'Voiceover/Narration', 'Post Apocalypse', 'Talking Animals']",Original Screenplay,Action,Live Action,Science Fiction,,['United States'],['English']
Beyond the Valley of the Dolls,1970,6,NC-17,9000000,,67883892,,1000000,7542655,109,"['Satirical Comedy', 'Satire', 'Prescription Drug Abuse', 'Addiction', 'Relationships Gone Wrong', 'Suicide', 'Domestic Abuse', 'LGBTQ+', 'Abortion', 'Musicians', 'Inheritance', 'Cult Movie', 'Ensemble']",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,['United States'],['English']
Chisum,1970,7,G,6000000,,45255928,,4000000,30170619,111,,Original Screenplay,Western,Live Action,Historical Fiction,,['United States'],"['English', 'Spanish']"
Kelly's Heroes,1970,6,GP,5200000,,39221804,,4000000,30170619,84,"['World War II', 'War', 'Inspired by a True Story', '1940s', 'Heist', 'Nazis', 'Nazi Treasure', 'Ensemble', 'Crime Comedy', 'AWOL']",Original Screenplay,Comedy,Live Action,Historical Fiction,,['United States'],"['English', 'French', 'German']"
Two Mules for Sister Sara,1970,6,M/PG,5050000,,38090406,,2500000,18856637,116,"['Fugitive / On the Run', 'Prostitution', 'Monks and Nuns', 'War', 'Romance', '1860s']",Original Screenplay,Western,Live Action,Historical Fiction,,"['Mexico', 'United States']","['English', 'French', 'Latin', 'Spanish']"
Darling Lili,1970,6,G,5000000,,37713273,,22000000,165938402,136,"['1910s', 'World War I', 'Secret Agent', 'Undercover', 'Romance', 'Love Triangle', 'Relationships Gone Wrong', 'Hitmen', 'Fugitive / On the Run']",Original Screenplay,Musical,Live Action,Historical Fiction,,['United States'],['English']
The Ballad of Cable Hogue,1970,5,R,3500000,1500000,26399291,11313982,3716946,28035640,121,,Original Screenplay,Western,Live Action,Historical Fiction,,['United States'],['English']
Myra Breckinridge,1970,6,R,3000000,,22627964,,5000000,37713273,94,"['Satirical Comedy', 'Satire', 'Transexual', 'LGBTQ+', 'Same Role, Multiple Actors', 'Sex Crimes', 'Teachers', 'Bad Teachers', 'Surprise Twist', 'Car Accident', 'Dream Sequence', 'Famously Bad', 'Cult Movie']",Based on Fiction Book/Short Story,Comedy,Live Action,Contemporary Fiction,,['United States'],['English']
The Molly Maguires,,,PG,2200000,,16593840,,11000000,82969201,124,,,Drama,Live Action,Historical Fiction,,['United States'],
The Only Game in Town,1970,1,M/PG,1500000,,11313982,,10235000,77199070,113,,Based on Play,Romantic Comedy,Live Action,Contemporary Fiction,,['United States'],['English']
THX 1138,1970,3,R,5000,,37713,,,,,,Based on Short Film,,,Science Fiction,,['United States'],
